taxon_phylum,taxon_class,taxon_order,L1-04_30-174,L1-05_05-176,L1-06_09-211,L1-06_12-213,L1-07_22-235,L1-07_23-236,L1-07_24-237,L1-07_25-234,L1-07_25-238,L1-07_28-240,L1-08_15-242,L1-08_22-244,L1-08_29-246,L1-09_05-247,L1-09_12-261,L1-09_19-263,L1-09_26-265,L4-05_19-200,L4-05_23-202,L4-05_28-204,L4-06_02-206,L4-06_06-208,L4-06_16-215,L4-06_18-217,L4-06_20-218,L4-06_23-220,L4-07_02-233,L4-07_07-255,L4-07_09-258,L4-07_11-260,RF-06_09-210,RF-06_12-212
Firmicutes,Bacilli,Bacillales,4.68,11.21,18.98,14.45,10.2,4.56,7.05,9.98,3.66,6.96,10.4,20.24,7.74,20.52,12.4,11.99,19.1,12.86,15.4,10,22.9,21.48,9.69,24.28,8.33,18.62,7.47,7.61,14.56,11.7,4.09,1.68
Firmicutes,Bacilli,Lactobacillales,4.69,7.06,20.21,10.34,8.4,6.91,7.43,7.83,5.01,6.69,6.43,17.4,5.35,10.32,5.58,6.24,6.88,8.08,10.79,6.87,12.96,10.66,8.55,12.5,11.26,11.3,7.78,7.63,13.99,8.14,1.63,2.12
Firmicutes,Clostridia,Clostridiales,2.71,3.47,9.6,8.06,4.27,2.67,4.14,3.36,2.87,3.87,6.17,8.86,3.54,4.63,3.08,2.93,3.48,5.01,9.35,9.62,7.74,5.97,5.29,5.63,4.23,11.96,3.81,5.99,5.43,4.67,0.58,1.55
Firmicutes,Negativicutes,Selenomonadales,0.23,0.39,1.13,0.63,0.46,0.43,0.49,0.52,0.4,0.39,0.45,0.94,0.36,0.58,0.36,0.38,0.31,0.4,0.6,0.76,0.9,0.88,0.47,0.65,0.64,0.69,0.63,0.52,0.83,0.55,0.21,0.1
Firmicutes,Erysipelotrichia,Erysipelotrichales,0.09,0.09,0.17,0.19,0.13,0.05,0.07,0.09,0.04,0.1,0.08,0.3,0.06,0.18,0.07,0.07,0.07,0.21,0.22,0.11,0.13,0.11,0.06,0.11,0.06,0.34,0.07,0.12,0.17,0.11,0.09,0.05
Actinobacteria,Actinobacteria,Propionibacteriales,7.67,7,8.4,10.9,16.69,14.41,18.05,12.99,18.25,17.65,8.29,9.12,12.27,12.26,11.37,11.59,8.49,27.71,11.61,11.2,8.43,12.73,12.73,10.15,12.49,9.68,14.04,12.84,19.25,14.05,2.13,4.74
Actinobacteria,Actinobacteria,Micrococcales,4.11,3.79,4.84,9.44,7.02,14.84,9.36,14.36,12.95,10.28,7.45,2.76,7.8,6.38,12.44,11.59,11.96,2.74,7.84,10.28,6.68,7.28,10.15,6,11.62,7.68,7.86,7.54,3.81,8.67,3.07,1.92
Actinobacteria,Actinobacteria,Actinomycetales,19.42,11.03,4.55,7.21,5.84,9.42,6.56,9.19,10.51,8.07,4.61,2.74,6.49,5.44,8.33,9.01,7.15,5.69,7.62,10.91,6.23,6.96,9.01,6.04,10.24,6.76,9.92,8.43,4.86,7.92,18.49,1.43
Actinobacteria,Actinobacteria,Corynebacteriales,7.12,7.79,6.91,12,7.48,11.76,8.71,11.04,12.14,14.14,8.16,6.61,11.72,10.01,12.71,13.29,12.08,6.64,9.31,12.88,8.54,7.21,9.38,9.91,12.79,7.5,12.34,11.28,8.55,8.6,2.24,0.67
Actinobacteria,Actinobacteria,Frankiales,22.9,6.98,0.47,0.68,0.33,0.36,0.28,0.53,0.88,0.19,0.3,0.11,0.45,0.28,0.46,0.57,0.29,1.3,0.82,2.18,0.42,0.54,0.57,0.36,0.45,0.64,0.67,0.48,0.15,0.32,11.24,0.19
Actinobacteria,Actinobacteria,Bifidobacteriales,0.77,0.78,3.36,2.67,1.05,1.14,1.92,1.59,1.27,1.18,1.2,1.2,1.84,1.64,0.82,1.69,0.92,0.81,1.4,1.91,1.73,1.46,2.96,3.7,1.24,1.63,1.93,1.51,1.81,1.26,0.1,0.08
Actinobacteria,Actinobacteria,Streptomycetales,1.84,1.57,0.21,0.42,0.32,0.38,0.27,0.5,0.5,0.35,0.21,0.12,0.5,0.19,0.5,0.5,0.41,0.6,0.3,0.38,0.27,0.35,0.36,0.21,0.47,0.29,0.42,0.31,0.07,0.26,1.16,0.11
Actinobacteria,Actinobacteria,Pseudonocardiales,0.46,0.37,0.07,0.11,0.08,0.11,0.07,0.13,0.15,0.09,0.08,0.04,0.33,0.07,0.15,0.18,0.09,0.13,0.09,0.13,0.08,0.1,0.17,0.07,0.12,0.08,0.13,0.08,0.01,0.07,0.67,0.05
Actinobacteria,Actinobacteria,Streptosporangiales,0.36,0.34,0.03,0.05,0.09,0.04,0.03,0.06,0.07,0.09,0.02,0.03,0.07,0.04,0.08,0.09,0.18,0.13,0.07,0.06,0.04,0.06,0.2,0.03,0.04,0.03,0.1,0.03,0.03,0.05,0.29,0.01
Actinobacteria,Actinobacteria,Micromonosporales,0.19,0.14,0.04,0.06,0.05,0.08,0.07,0.11,0.13,0.06,0.03,0.01,0.08,0.06,0.08,0.1,0.08,0.01,0.06,0.1,0.06,0.05,0.08,0.05,0.1,0.09,0.12,0.06,0.01,0.06,0.32,0.01
Actinobacteria,Coriobacteriia,Coriobacteriales,0.16,0.19,0.27,0.45,0.24,0.24,0.34,0.38,0.33,0.29,0.24,0.23,0.27,0.25,0.25,0.29,0.21,0.13,0.36,1.01,0.44,0.25,0.27,0.25,0.27,0.21,0.27,0.34,0.41,0.3,0.03,0.01
Proteobacteria,Gammaproteobacteria,Pseudomonadales,4.86,6.39,6.8,6.67,12.1,7.84,8.85,9.06,8.96,9.07,7.67,10.95,12.52,9.61,7.28,9.84,8.14,4.97,6.23,5.54,6.58,6.59,5.98,5.91,7.27,6.67,6.27,8.01,8.01,9.02,1.41,0.94
Proteobacteria,Gammaproteobacteria,Xanthomonadales,0.54,3.97,0.69,1.43,1.86,1.53,2.25,1.73,1.37,4,14.09,0.34,3.55,1.19,7.67,0.83,4.62,3.04,1.72,1.27,1.88,3.66,3.83,0.7,0.75,0.61,10.3,10.2,0.91,5.78,27.39,63.81
Proteobacteria,Gammaproteobacteria,Enterobacteriales,1.5,1.93,2.04,2.29,3.88,2.06,2.78,2.13,2.11,3.49,12.3,4.35,9.75,3.02,5.08,4.73,3.22,1.88,1.43,1.98,1.36,1.81,3.32,1.09,4.41,2.09,2.49,4.44,2.73,2.83,5.93,15.54
Proteobacteria,Gammaproteobacteria,Legionellales,0.54,1.09,0.87,0.46,0.55,0.56,7.44,0.94,0.31,0.23,2.53,0.71,2.1,1.55,0.93,1.14,1.68,1.27,2.34,0.58,1.28,1.73,0.74,1.5,1.39,1.46,1.48,0.83,0.35,1.76,0.16,0.01
Proteobacteria,Gammaproteobacteria,Pasteurellales,0.17,0.16,0.38,0.51,0.26,0.27,0.26,0.45,0.17,0.52,0.2,0.46,0.28,0.26,0.22,0.44,0.16,0.72,0.26,0.32,0.5,0.25,0.93,0.34,0.31,0.47,0.4,0.19,0.57,0.22,0.02,0.39
Proteobacteria,Gammaproteobacteria,Alteromonadales,0.07,0.08,0.07,0.11,0.26,0.16,0.2,0.14,0.12,0.12,0.1,0.38,0.08,0.16,0.12,0.18,0.21,0.05,0.11,0.13,0.15,0.14,0.1,0.11,0.1,0.11,0.22,0.12,0.35,0.45,0.35,0.03
Proteobacteria,Gammaproteobacteria,Aeromonadales,0.04,0.04,0.05,0.04,0.11,0.07,0.06,0.05,0.06,0.08,0.03,0.05,0.05,0.1,0.05,0.07,0.07,0.02,0.05,0.07,0.05,0.06,0.02,0.03,0.04,0.04,0.09,0.08,0.06,0.22,0.01,0
Proteobacteria,Alphaproteobacteria,Rhizobiales,1.91,1.41,1.47,1.63,8.74,10.72,5.78,3.2,9.12,1.85,1.29,0.72,1.92,1.2,2.15,2.51,1.4,3.83,1.02,2.69,0.86,1.12,2.06,1.74,4.38,1.39,2.22,2.04,2.56,3.77,2.15,0.4
Proteobacteria,Alphaproteobacteria,Rhodobacterales,0.73,0.66,0.37,0.79,0.5,0.91,0.67,1.18,1.04,0.54,0.5,0.2,0.7,0.84,1.18,1.01,0.76,0.3,0.56,0.89,0.42,0.68,0.81,0.46,0.63,0.94,1.06,0.9,0.33,0.68,0.85,0.09
Proteobacteria,Alphaproteobacteria,Caulobacterales,0.24,0.29,0.15,0.23,0.69,0.72,0.49,0.63,0.56,0.4,0.2,0.12,0.35,0.19,0.33,0.38,0.26,0.08,0.17,0.21,0.15,0.22,0.31,0.16,0.25,0.3,0.37,0.36,0.14,0.41,0.21,0.03
Proteobacteria,Alphaproteobacteria,Sphingomonadales,0.44,0.41,0.19,0.3,0.34,0.52,0.33,0.46,0.4,0.2,0.21,0.17,0.38,0.34,0.36,0.47,0.32,0.15,0.21,0.33,0.18,0.24,0.3,0.2,0.3,0.2,0.48,0.37,0.09,0.36,0.39,0.03
Proteobacteria,Alphaproteobacteria,Rhodospirillales,0.24,0.16,0.07,0.11,0.14,0.16,0.11,0.16,0.14,0.08,0.06,0.05,0.09,0.1,0.12,0.16,0.12,0.06,0.07,0.12,0.07,0.09,0.11,0.08,0.21,0.07,0.12,0.09,0.02,0.11,0.12,0.01
Proteobacteria,Betaproteobacteria,Burkholderiales,1.03,1.05,0.58,0.63,1.1,1.5,0.93,1.01,1.02,1.43,0.57,0.56,0.75,1.2,0.75,1.46,0.75,0.66,0.59,0.81,0.5,0.61,0.68,0.64,0.85,0.56,1.52,0.74,0.84,0.92,0.71,0.17
Proteobacteria,Betaproteobacteria,Neisseriales,0.18,0.21,0.85,0.49,0.59,1.17,0.36,0.49,0.44,1.74,0.29,0.24,0.37,0.35,0.27,0.26,0.28,0.16,0.23,0.62,0.3,0.87,2.03,0.31,0.45,0.32,0.54,0.51,0.49,0.26,0.03,0.2
Proteobacteria,Deltaproteobacteria,Myxococcales,0.17,0.15,0.02,0.03,0.03,0.07,0.03,0.04,0.05,0.01,0.03,0.01,0.1,0.02,0.03,0.06,0.04,0.06,0.04,0.05,0.03,0.04,0.14,0.04,0.03,0.04,0.08,0.03,0.08,0.05,0.32,0.01
Proteobacteria,Epsilonproteobacteria,Campylobacterales,0.03,0.06,0.09,0.03,0.13,0.04,0.05,0.05,0.11,0.03,0.07,0.1,0.02,0.14,0.05,0.06,0.07,0.04,0.02,0.04,0.05,0.18,0.06,0.17,0.09,0.06,0.03,0.03,0.11,0.08,0.01,0.02
Ascomycota,Eurotiomycetes,Eurotiales,1.72,8.61,0.8,0.56,0.29,0.8,0.48,1.05,0.35,0.98,1.19,0.68,3.74,2.07,1.46,1.46,2.22,1.76,1.08,0.79,0.91,0.35,2.9,2.22,0.25,0.46,0.7,0.66,0.68,0.66,3.07,0.28
Ascomycota,Dothideomycetes,Pleosporales,0.73,0.78,0.2,0.21,0.09,0.07,0.08,0.24,0.13,0.17,0.15,0.13,0.13,0.23,0.12,0.18,0.24,0.38,0.44,0.19,0.36,0.28,0.23,0.28,0.14,0.28,0.12,0.06,0.1,0.12,2.23,0.07
Ascomycota,Leotiomycetes,Helotiales,0.35,0.48,0.01,0.02,0.24,0,0,0.32,0.01,0.46,0.2,0.11,0.22,0.04,0.01,0.37,0.21,0.06,0.12,0.02,0.16,0.06,0.02,0.02,0.05,0,0.03,0.04,0.17,0.04,1.32,0.2
Ascomycota,Saccharomycetes,Saccharomycetales,0.17,0.19,0.21,0.25,0.26,0.2,0.1,0.24,0.12,0.14,0.18,0.3,0.2,0.21,0.14,0.16,0.23,0.32,0.32,0.15,0.31,0.31,0.16,0.25,0.18,0.21,0.22,0.14,0.2,0.16,0.03,0
Ascomycota,Saccharomycetes,mitosporic_Saccharomycetales,0.04,0.06,0.08,0.09,0.06,0.07,0.02,0.04,0.01,0.22,0.07,0.18,0.06,0.11,0.05,0.08,0.13,0.11,0.13,0.05,0.18,0.07,0.07,0.1,0.09,0.09,0.06,0.03,0.25,0.06,0.03,0
Ascomycota,Sordariomycetes,Sordariales,0.12,0.13,0.01,0.06,0.03,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.05,0.04,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.02,0.02,0,0.02,0.26,0
Ascomycota,Sordariomycetes,Hypocreales,0.05,0.07,0.02,0.02,0.03,0.02,0.03,0.04,0.02,0.04,0.04,0.04,0.02,0.05,0.03,0.04,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.07,0.02,0.06,0
Bacteroidetes,Bacteroidia,Bacteroidales,1.61,2.7,3.56,4.11,3.88,2.06,2.82,2.3,3.11,2.16,2.88,7.11,2.28,2.69,1.76,1.93,1.82,4.41,5.58,3.62,4.61,3.33,3.92,2.6,2.45,4.69,2.58,4.18,4.93,3.93,0.32,1.94
Bacteroidetes,Flavobacteriia,Flavobacteriales,0.09,0.16,0.26,0.12,0.16,0.09,0.08,0.11,0.08,0.15,0.12,0.21,0.07,0.14,0.1,0.12,0.09,0.19,0.14,0.13,0.18,0.16,0.11,0.15,0.17,0.2,0.12,0.14,0.32,0.12,0.18,0.03
Basidiomycota,Ustilaginomycetes,Ustilaginales,3.1,5.03,0.06,0.04,0.02,0.01,0.03,0.02,0.02,0.05,0.01,0.06,0.01,0.04,0.01,0.02,0.01,0.65,0.2,0.08,0.15,0.09,0.05,0.09,0.04,0.07,0.02,0.01,0.04,0.04,3.11,0.11
Basidiomycota,Malasseziomycetes,Malasseziales,0.09,0.08,0.12,0.19,0.16,0.12,0.18,0.22,0.16,0.35,0.18,0.16,0.17,0.26,0.2,0.24,0.28,0.55,0.23,0.13,0.21,0.21,0.19,0.19,0.2,0.18,0.17,0.11,0.21,0.18,0.01,0.01
Basidiomycota,Agaricomycetes,Polyporales,0.04,0.06,0,0,0.07,0.15,0.13,0.23,0.16,0.36,0.01,0.01,0,0.02,0.01,0.01,0.02,0.01,0,0,0.01,0,0,0,0,0,0.01,0.05,0.02,0.11,0.04,0
Fusobacteria,Fusobacteriia,Fusobacteriales,0.04,0.09,0.19,0.2,0.17,0.05,0.05,0.07,0.04,0.03,0.1,0.25,0.05,0.16,0.07,0.06,0.06,0.32,0.07,0.08,0.2,0.13,0.09,0.12,0.1,0.13,0.09,0.09,0.16,0.09,0,0.04
Cyanobacteria,Fusobacteriia,Chroococcales,0.15,0.14,0.02,0.03,0.03,0.06,0.02,0.03,0.02,0.01,0.02,0.01,0.04,0.04,0.03,0.09,0.05,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.94,0.05
Cyanobacteria,Fusobacteriia,Nostocales,0.47,0.06,0.05,0.07,0.05,0.04,0.04,0.03,0.02,0.04,0.06,0.09,0.05,0.12,0.06,0.06,0.08,0.03,0.09,0.05,0.08,0.04,0.05,0.04,0.02,0.11,0.04,0.03,0.5,0.05,0.15,0
Cyanobacteria,Fusobacteriia,Oscillatoriales,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.1,0.02,0.07,0.5,0.1,0.02,0.25,0.03,0.01,0.02,0.03,0.01,0.07,0.02,0.01,0.02,0.03,0.04,0.01,0.01,0.03,0,0
Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,0.02,0.02,0.03,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.05,0.02,0.02,0.02,0.02,0.68,0.03,0.03,0.02,0.04,0.17,0.02,0.04,0.03,0.01,0.23,0.21,0.04,0.02,0.06
Viruses,dsDNA_viruses,Caudovirales,0.03,0.04,0.04,0.04,0.1,0.05,0.05,0.06,0.05,0.06,0.05,0.07,0.04,0.05,0.04,0.05,0.06,0.06,0.05,0.03,0.08,0.07,0.04,0.06,0.05,0.05,0.06,0.06,0.14,0.05,0.11,0.01
Other,Other,Other,1.07,1.02,0.37,0.52,0.41,0.44,0.42,0.52,0.47,0.42,0.45,0.37,0.45,0.54,0.56,0.73,0.56,0.66,0.57,0.53,0.55,0.41,0.51,0.39,0.36,0.57,0.43,0.39,0.4,0.61,1.72,0.79
